id,date,store_nbr,sales,onpromotion,year,month,day,day_of_week,is_weekend,dcoilwtico,cluster,transactions,sales_lag_7,sales_lag_14,sales_lag_30,sales_roll_mean_7,sales_roll_std_7,family_BABY CARE,family_BEAUTY,family_BEVERAGES,family_BOOKS,family_BREAD/BAKERY,family_CELEBRATION,family_CLEANING,family_DAIRY,family_DELI,family_EGGS,family_FROZEN FOODS,family_GROCERY I,family_GROCERY II,family_HARDWARE,family_HOME AND KITCHEN I,family_HOME AND KITCHEN II,family_HOME APPLIANCES,family_HOME CARE,family_LADIESWEAR,family_LAWN AND GARDEN,family_LINGERIE,"family_LIQUOR,WINE,BEER",family_MAGAZINES,family_MEATS,family_PERSONAL CARE,family_PET SUPPLIES,family_PLAYERS AND ELECTRONICS,family_POULTRY,family_PREPARED FOODS,family_PRODUCE,family_SCHOOL AND OFFICE SUPPLIES,family_SEAFOOD,city_Babahoyo,city_Cayambe,city_Cuenca,city_Daule,city_El Carmen,city_Esmeraldas,city_Guaranda,city_Guayaquil,city_Ibarra,city_Latacunga,city_Libertad,city_Loja,city_Machala,city_Manta,city_Playas,city_Puyo,city_Quevedo,city_Quito,city_Riobamba,city_Salinas,city_Santo Domingo,state_Bolivar,state_Chimborazo,state_Cotopaxi,state_El Oro,state_Esmeraldas,state_Guayas,state_Imbabura,state_Loja,state_Los Rios,state_Manabi,state_Pastaza,state_Pichincha,state_Santa Elena,state_Santo Domingo de los Tsachilas,state_Tungurahua,type_B,type_C,type_D,type_E,actual_sales,predicted_sales,error,abs_error
2445984,2016-10-07,39,89576.36,0,2016,10,7,4,0,49.76,6,1295.0,2351.344,2224.355,117.596,12956.957285714288,33786.0019504815,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,89576.36,9143.76,80432.600234375,80432.600234375
2786103,2017-04-17,32,1135.0,60,2017,4,17,0,0,52.62,3,558.0,1776.0,3614.0,1751.0,6791.857142857143,9266.735481073714,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1135.0,31318.762,-30183.76171875,30183.76171875
2760297,2017-04-02,9,38422.625,73,2017,4,2,6,1,50.54,6,2245.0,9670.06,10056.774,6747.376,12091.915,12152.27291743994,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,38422.625,14133.142,24289.4833984375,24289.4833984375
2761617,2017-04-03,45,731.0,20,2017,4,3,0,0,50.25,11,292.0,10592.0,11685.0,18011.0,11698.714285714286,7537.754610719886,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,731.0,24577.432,-23846.431640625,23846.431640625
2761608,2017-04-03,45,624.0,3,2017,4,3,0,0,50.25,11,292.0,9862.0,10964.0,14685.0,9448.714285714286,5833.637136306582,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,624.0,22272.805,-21648.8046875,21648.8046875
2565234,2016-12-13,35,1410.0,74,2016,12,13,1,0,52.99,3,636.0,1921.0,1534.005,1999.0,5755.577285714286,11190.573270597237,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1410.0,21019.473,-19609.47265625,19609.47265625
2784321,2017-04-16,32,1426.0,61,2017,4,16,6,1,53.19,3,592.0,1390.0,2021.0,1289.0,6883.428571428572,9204.477277519944,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1426.0,20767.506,-19341.505859375,19341.505859375
2588268,2016-12-27,31,5347.729,112,2016,12,27,1,0,52.82,10,1639.0,6321.827,3847.962,4150.09,8787.778714285714,3330.524772246762,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,5347.729,24276.848,-18929.11865625,18929.11865625
2780757,2017-04-14,32,1288.0,50,2017,4,14,4,0,53.19,3,588.0,1569.0,3657.0,1399.0,7549.428571428572,8921.97892579785,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1288.0,18599.168,-17311.16796875,17311.16796875
2570580,2016-12-16,35,3665.516,84,2016,12,16,4,0,51.93,3,664.0,1524.511,1647.0,1617.0,6167.578,11032.8444375192,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,3665.516,20794.879,-17129.36290625,17129.36290625
2775411,2017-04-11,32,20602.0,40,2017,4,11,1,0,53.38,3,793.0,2531.0,2600.0,1294.0,5623.285714285715,6890.884793558463,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,20602.0,3778.9316,16823.068359375,16823.068359375
2567016,2016-12-14,35,1597.0,82,2016,12,14,2,0,51.01,3,585.0,1159.0,1734.0,2067.0,5818.148714285714,11161.775670860136,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1597.0,17692.682,-16095.681640625,16095.681640625
2586486,2016-12-26,31,5456.113,115,2016,12,26,0,0,52.01,10,1650.0,6605.805,6684.286,3047.105,8926.935571428572,3179.774492934428,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,5456.113,20751.705,-15295.592078124999,15295.592078124999
